Date,Name,Year,Letterboxd URI,Rating
2022-03-26,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK,1.5
2022-03-26,Marriage Story,2019,https://boxd.it/hJAw,4
2022-03-26,Captain Marvel,2019,https://boxd.it/9vSA,3.5
2022-03-26,Aquaman,2018,https://boxd.it/9ru0,0.5
2022-03-26,Ant-Man and the Wasp,2018,https://boxd.it/cqUW,2
2022-03-26,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,4
2022-03-26,Jurassic World,2015,https://boxd.it/4n0g,1.5
2022-03-26,The Amazing Spider-Man,2012,https://boxd.it/27PI,4.5
2022-03-26,Meesa Madhavan,2002,https://boxd.it/a48M,4.5
2022-03-26,La La Land,2016,https://boxd.it/a5fa,3.5
2022-03-26,Spider-Man,2002,https://boxd.it/2a8i,3.5
2022-03-26,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,3
2022-03-27,Drive My Car,2021,https://boxd.it/sv94,4.5
2022-04-18,Sharp Objects,2018,https://boxd.it/j3NM,5
2022-04-21,Mare of Easttown,2021,https://boxd.it/u2h8,4
2022-04-23,American Psycho,2000,https://boxd.it/28Vs,5
2022-04-23,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/1RYu,4.5
2022-04-23,Wonder Woman,2017,https://boxd.it/9roG,4
2022-04-23,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,4
2022-04-23,The Theory of Everything,2014,https://boxd.it/7YtA,4
2022-04-23,The Avengers,2012,https://boxd.it/1xFW,4
2022-04-23,Thor: Ragnarok,2017,https://boxd.it/8MHi,4
2022-04-23,Black Panther,2018,https://boxd.it/8MHs,4
2022-04-23,Iron Man,2008,https://boxd.it/28dA,4
2022-04-23,Iron Man 2,2010,https://boxd.it/1WZM,2.5
2022-04-23,Ant-Man,2015,https://boxd.it/3vmW,2.5
2022-04-23,Doctor Strange,2016,https://boxd.it/8MH8,3
2022-04-23,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,3
2022-04-23,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,3
2022-04-23,Spider-Man: Far From Home,2019,https://boxd.it/fegG,3
2022-04-23,Captain America: The First Avenger,2011,https://boxd.it/28b0,3
2022-04-23,Captain America: Civil War,2016,https://boxd.it/89Ja,3.5
2022-04-23,Guardians of the Galaxy,2014,https://boxd.it/3VH2,3.5
2022-04-23,Spider-Man: Homecoming,2017,https://boxd.it/aboM,3
2022-04-23,Train to Busan,2016,https://boxd.it/dSQU,4.5
2022-04-23,The Dark Knight Rises,2012,https://boxd.it/H3m,4
2022-04-23,Fantastic Beasts and Where to Find Them,2016,https://boxd.it/7FPC,3.5
2022-04-23,Fantastic Beasts: The Crimes of Grindelwald,2018,https://boxd.it/bg8G,3.5
2022-04-23,Deadpool 2,2018,https://boxd.it/dlLM,1
2022-04-23,Kalyanaraman,2002,https://boxd.it/bOVC,4.5
2022-04-23,Gentleman Jack,2019,https://boxd.it/mkc0,3.5
2022-04-26,3 Idiots,2009,https://boxd.it/1Dsa,4.5
2022-04-28,Petite Maman,2021,https://boxd.it/s6je,4.5
2022-04-28,Avengers: Infinity War,2018,https://boxd.it/9vEe,4
2022-04-28,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,4
2022-04-28,Star Wars: Episode III - Revenge of the Sith,2005,https://boxd.it/27US,4
2022-04-28,Split,2016,https://boxd.it/dgSy,4
2022-04-28,WandaVision,2021,https://boxd.it/sbGW,4
2022-04-28,The Amazing Spider-Man 2,2014,https://boxd.it/3utM,3.5
2022-04-28,"Don't Worry, He Won't Get Far on Foot",2018,https://boxd.it/fLeo,3.5
2022-04-28,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,3
2022-04-28,Under the Skin,2013,https://boxd.it/3mDa,3
2022-04-28,Glass,2019,https://boxd.it/g3uO,2.5
2022-04-28,Unbreakable,2000,https://boxd.it/1XV2,2.5
2022-04-28,The Wolverine,2013,https://boxd.it/2CWU,1.5
2022-04-28,Deadpool,2016,https://boxd.it/9fOC,0.5
2022-04-29,Bound,1996,https://boxd.it/1Z1g,4.5
2022-04-30,The Nowhere Inn,2020,https://boxd.it/oigo,3.5
2022-04-30,Mistress America,2015,https://boxd.it/9UfS,5
2022-05-03,Diabolique,1996,https://boxd.it/1UV4,3.5
2022-05-18,The Journey,2004,https://boxd.it/4pW2,5
2022-05-18,Ellie Parker,2005,https://boxd.it/1JYw,3.5
2022-05-19,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2022-05-19,Joker,2019,https://boxd.it/h4cS,3.5
2022-05-19,Uncut Gems,2019,https://boxd.it/gXGc,1
2022-05-21,Avengers: Endgame,2019,https://boxd.it/9vE4,3.5
2022-05-21,Vigil,2021,https://boxd.it/x3lc,3.5
2022-05-21,Ingrid Goes West,2017,https://boxd.it/evUQ,4.5
2022-05-28,Black Widow,2021,https://boxd.it/hWV8,3
2022-05-28,The Falcon and the Winter Soldier,2021,https://boxd.it/sbH6,3
2022-05-28,Loki,2021,https://boxd.it/sbHg,3
2022-05-28,The Haunting of Bly Manor,2020,https://boxd.it/rUdS,4
2022-07-04,Crimes of the Future,2022,https://boxd.it/uTuY,4
2022-07-05,Girlhood,2014,https://boxd.it/7WyI,4.5
2022-07-06,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,3
2022-07-10,Persona,1966,https://boxd.it/29B4,4.5
2022-07-10,Tomboy,2011,https://boxd.it/49U,5
2022-07-10,Premam,2015,https://boxd.it/bod0,4.5
2022-07-10,Gandhi,1982,https://boxd.it/29Dk,4
2022-07-10,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO,4.5
2022-07-10,C.I.D. Moosa,2003,https://boxd.it/aNXU,5
2022-07-10,The Martian,2015,https://boxd.it/8SeG,4
2022-07-10,The Dark Knight,2008,https://boxd.it/2b0k,4
2022-07-10,A Quiet Place,2018,https://boxd.it/fVJQ,4
2022-07-10,Begin Again,2013,https://boxd.it/5Ybs,4
2022-07-10,Return of the Jedi,1983,https://boxd.it/27Vm,4
2022-07-10,Batman Begins,2005,https://boxd.it/2aIg,4
2022-07-10,Thelma & Louise,1991,https://boxd.it/28Ew,5
2022-07-11,Videodrome,1983,https://boxd.it/29uC,4.5
2022-07-11,8 Women,2002,https://boxd.it/27Lm,4
2022-07-12,Desert Hearts,1985,https://boxd.it/2aFc,4
2022-07-15,Raw,2016,https://boxd.it/dLd2,4.5
2022-07-17,The Hunger,1983,https://boxd.it/1Tk2,4
2022-07-17,Irma Vep,1996,https://boxd.it/1vYs,4
2022-07-18,Crash,1996,https://boxd.it/29n2,5
2022-07-18,Water Lilies,2007,https://boxd.it/1VjK,4
2022-07-18,The Batman,2022,https://boxd.it/eDGs,4.5
2022-07-18,Spencer,2021,https://boxd.it/qPMG,5
2022-07-21,Twin Peaks,1989,https://boxd.it/g8pk,5
2022-07-21,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw,5
2022-07-21,Eraserhead,1977,https://boxd.it/299u,4
2022-07-23,Kilukkam,1991,https://boxd.it/4tpm,4
2022-07-23,Neram,2013,https://boxd.it/5L6E,4.5
2022-07-27,Twin Peaks: The Return,2017,https://boxd.it/hN9O,5
2022-07-31,The Runaways,2010,https://boxd.it/1rsC,3.5
2022-07-31,Bohemian Rhapsody,2018,https://boxd.it/f1TK,3.5
