uri,Year,Name,Director,Runtime,Cast,Poster,Countries,Languages,Genres,Watches
dhEM,2016,Maheshinte Prathikaaram,Dileesh Pothan,121,"['Fahadh Faasil', 'Anusree Nair', 'Aparna Balamurali', 'Alencier Ley Lopez', 'Jaffer Idukki', 'Dileesh Pothan', 'Soubin Shahir', 'Sujith Sankar', 'Lijomol Jose', 'K L Antony Kochi', 'Saiju Agustine', 'V. T. Vijilesh', 'Manju Pathrose', 'Hareesh Pengan', 'Achuthanandan', 'Unnimaya Prasad', 'Shiny Sarah', 'Ranjith Rajan']",,['India'],['Malayalam'],"['comedy', 'drama']",[]
bod0,2015,Premam,Alphonse Puthren,157,"['Nivin Pauly', 'Sai Pallavi', 'Madonna Sebastian', 'Anupama Parameswaran', 'Shabareesh Varma', 'Krishna Shankar', 'Soubin Shahir', 'Vinay Forrt', 'Ananth Nag', 'Siju Wilson', 'Anju Kurian', 'Suraj Sathyan', 'Shiyas K.A.', 'Maju Mathew', 'Sibu Thankachan', 'Eva Prakash', 'Althaf Salim', 'Vijai Suresh', 'George Kora', 'Renji Panicker', 'Maniyanpilla Raju', 'Nandini Sree', 'Justin John', 'Sharaf U Dheen', 'Alphonse Puthren', 'Jude Anthany Joseph', 'Rinsa Jacob', 'Rajini Chandy', 'Sandeep Varma']",,['India'],"['Malayalam', 'Tamil']","['romance', 'comedy']",[]
aM7I,2015,OK Kanmani,Mani Ratnam,139,"['Dulquer Salmaan', 'Nithya Menen', 'Prakash Raj', 'Leela Samson', 'Vinodhini Vaidyanathan', 'Ramya Subramanian', 'Prabhu Lakshman', 'Sivakumar Ananth', 'Rama Ramasamy', 'John Devasahayam', 'Chandrika Chandran', 'Baby Rakshana', 'Padam Bhola', 'Kaniha', 'B. V. Doshi', 'Aarav Nafeez', 'Ashwin Kumar', 'Ciby Bhuvana Chandran']",,['India'],['Tamil'],"['romance', 'drama']",[]
5L6E,2013,Neram,Alphonse Puthren,116,"['Nivin Pauly', 'Nazriya Nazim Fahadh', 'Manoj K Jayan', 'Nassar', 'Lalu Alex', 'Thambi Ramaiah', 'John Vijay', 'Shammi Thilakan', 'Bobby Simha', 'Siju Wilson', 'Krishna Shankar', 'Ramesh Thilak', 'Ananth Nag', 'Anju Kurian', 'Shabareesh Varma', 'Charle', 'Crane Manohar', 'Sai Prashanth', 'Joju George']",,['India'],"['Malayalam', 'Tamil']","['drama', 'action', 'thriller', 'comedy']",[]
7AF8,2014,Ohm Shanthi Oshaana,Jude Anthany Joseph,130,"['Nazriya Nazim Fahadh', 'Nivin Pauly', 'Renji Panicker', 'Vineeth Sreenivasan', 'Aju Varghese', 'Vinaya Prasad', 'Lal Jose', 'Shobha Mohan', 'Nikki Galrani', 'Vijayaraghavan', 'Sharaf U Dheen', 'Akshaya Premnath', 'Harikrishnan', 'Anju Kurian', 'Oshein Mertil', 'Nimisha Suresh', 'Poojitha Menon', 'Manju Satheesh']",,['India'],['Malayalam'],"['comedy', 'romance']",[]
7QcG,2014,Vaayai Moodi Pesavum,Balaji Mohan,140,"['Dulquer Salmaan', 'Nazriya Nazim Fahadh', 'Madhoo', 'Arjunan Nandakumar', 'Dev', 'Pandiarajan', 'Kaali Venkat', 'John Vijay', 'Ramesh Thilak', 'Robo Shankar', 'Abhishek Shankar', 'Vinu Chakravarthy', 'Sathyapriya', 'Leo Sivadass', 'Surabhi Lakshmi', 'Rony David Raj', 'Nandan Unni', 'Mareena Michael', 'Mime Gopi', 'Nakshathra Nagesh', 'Kamala Krishnaswamy', 'Balaji Patturaj', 'Balaji Mohan']",,['India'],"['Tamil', 'Malayalam']","['comedy', 'romance']",[]
mIuC,2020,Mank,David Fincher,132,"['Gary Oldman', 'Amanda Seyfried', 'Lily Collins', 'Arliss Howard', 'Tom Pelphrey', 'Sam Troughton', 'Ferdinand Kingsley', 'Tuppence Middleton', 'Tom Burke', 'Joseph Cross', 'Jamie McShane', 'Toby Leonard Moore', 'Monika Gossmann', 'Charles Dance', 'Jack Romano', 'Adam Shapiro', 'John Churchill', 'Jeff Harms', 'Derek Petropolis', 'Sean Persaud', 'Paul Fox', 'Tom Simmons', 'Nick Job', 'Colin Ward', 'Cooper Tomlinson', 'Julie Collis', 'Arlo Mertz', 'Craig Welzbacher', 'Jessie Cohen']",,['USA'],['English'],"['history', 'drama']","[datetime.datetime(2021, 6, 26, 0, 0)]"
dgRU,2017,mother!,Darren Aronofsky,121,"['Jennifer Lawrence', 'Javier Bardem', 'Ed Harris', 'Michelle Pfeiffer', 'Brian Gleeson', 'Domhnall Gleeson', 'Jovan Adepo', 'Amanda Chiu', 'Patricia Summersett', 'Eric Davis', 'Raphael Grosz-Harvey', 'Emily Hampshire', 'Abraham Aronofsky', 'Luis Oliva', 'Stephanie Ng Wan', 'Chris Gartin', 'Stephen McHattie', 'Ambrosio De Luca', 'Gregg Bello', 'Arthur Holden', 'Henry Kwok', 'Alex Bisping', 'Koumba Ball', 'Robert Higden', 'Elizabeth Neale', 'Kristen Wiig', 'Scott Humphrey', 'Marcia Jean Kurtz', 'Anton Koval']",,['USA'],['English'],"['horror', 'mystery', 'drama']","[datetime.datetime(2021, 6, 27, 0, 0)]"
41Xg,2012,Frances Ha,Noah Baumbach,86,"['Greta Gerwig', 'Mickey Sumner', 'Michael Esper', 'Adam Driver', 'Michael Zegen', ""Charlotte d'Amboise"", 'Grace Gummer', 'Patrick Heusinger', 'Josh Hamilton', 'Maya Kazan', 'Justine Lupe', 'Britta Phillips', 'Juliet Rylance', 'Dean Wareham', 'Hannah Dunne', 'Daiva Deupree', 'Isabelle McNally', 'Vanessa Ray', 'Lindsay Burdge', 'Marina Squerciati', 'Christine Gerwig', 'Gordon Gerwig', 'David Salem', 'Isaac Salem', 'Anna Salem', 'Laurie Aloisio-Salem', 'Daniel Roose', 'Courtney Coffin-Jensen', 'Kristine Jensen']",,"['Brazil', 'USA']",['English'],"['comedy', 'drama']","[datetime.datetime(2021, 6, 30, 0, 0)]"
28Vs,2000,American Psycho,Mary Harron,102,"['Christian Bale', 'Willem Dafoe', 'Jared Leto', 'Josh Lucas', 'Samantha Mathis', 'Matt Ross', 'Bill Sage', 'Chloë Sevigny', 'Cara Seymour', 'Justin Theroux', 'Guinevere Turner', 'Reese Witherspoon', 'Krista Sutton', 'Reg E. Cathey', 'Anthony Lemke', 'Stephen Bogaert', 'Monika Meier', 'Blair Williams', 'Marie Dame', 'Kelley Harron', 'Patricia Gage', 'Landy Cannon', 'Park Bench', 'Catherine Black', 'Margaret Ma', 'Peter Tufford Kennedy', 'Mark Pawson', 'Jessica Lau', 'Lilette Wiens']",,"['Canada', 'USA']","['English', 'Spanish', 'Cantonese']","['drama', 'thriller', 'crime']","[datetime.datetime(2021, 7, 3, 0, 0)]"
